Location,County,Statistic,Value,Year,Month,Day,Unit,Age adjusted
State of Delaware,N/A,New Positive Cases,0,2020,3,8,people,false
State of Delaware,N/A,New Positive Cases,0,2020,3,9,people,false
State of Delaware,N/A,New Positive Cases,0,2020,3,10,people,false
State of Delaware,N/A,New Positive Cases,4,2020,3,11,people,false
State of Delaware,N/A,New Positive Cases,0,2020,3,12,people,false
State of Delaware,N/A,New Positive Cases,1,2020,3,13,people,false
State of Delaware,N/A,New Positive Cases,0,2020,3,14,people,false
State of Delaware,N/A,New Positive Cases,3,2020,3,15,people,false
State of Delaware,N/A,New Positive Cases,1,2020,3,16,people,false
State of Delaware,N/A,New Positive Cases,4,2020,3,17,people,false
State of Delaware,N/A,New Positive Cases,11,2020,3,18,people,false
State of Delaware,N/A,New Positive Cases,13,2020,3,19,people,false
State of Delaware,N/A,New Positive Cases,8,2020,3,20,people,false
State of Delaware,N/A,New Positive Cases,7,2020,3,21,people,false
State of Delaware,N/A,New Positive Cases,12,2020,3,22,people,false
State of Delaware,N/A,New Positive Cases,38,2020,3,23,people,false
State of Delaware,N/A,New Positive Cases,31,2020,3,24,people,false
State of Delaware,N/A,New Positive Cases,18,2020,3,25,people,false
State of Delaware,N/A,New Positive Cases,22,2020,3,26,people,false
State of Delaware,N/A,New Positive Cases,36,2020,3,27,people,false
State of Delaware,N/A,New Positive Cases,47,2020,3,28,people,false
State of Delaware,N/A,New Positive Cases,46,2020,3,29,people,false
State of Delaware,N/A,New Positive Cases,36,2020,3,30,people,false
State of Delaware,N/A,New Positive Cases,70,2020,3,31,people,false
State of Delaware,N/A,New Positive Cases,36,2020,4,1,people,false
State of Delaware,N/A,New Positive Cases,31,2020,4,2,people,false
State of Delaware,N/A,New Positive Cases,173,2020,4,3,people,false
State of Delaware,N/A,New Positive Cases,59,2020,4,4,people,false
State of Delaware,N/A,New Positive Cases,70,2020,4,5,people,false
State of Delaware,N/A,New Positive Cases,94,2020,4,6,people,false
State of Delaware,N/A,New Positive Cases,226,2020,4,7,people,false
State of Delaware,N/A,New Positive Cases,117,2020,4,8,people,false
State of Delaware,N/A,New Positive Cases,99,2020,4,9,people,false
State of Delaware,N/A,New Positive Cases,156,2020,4,10,people,false
State of Delaware,N/A,New Positive Cases,137,2020,4,11,people,false
State of Delaware,N/A,New Positive Cases,107,2020,4,12,people,false
